ID,TITLE,ABSTRACT,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
13686,Single Image Super-resolution via a Lightweight Residual Convolutional Neural Network,"  Recent years have witnessed great success of convolutional neural network
(CNN) for various problems both in low and high level visions. Especially
noteworthy is the residual network which was originally proposed to handle
high-level vision problems and enjoys several merits. This paper aims to extend
the merits of residual network, such as skip connection induced fast training,
for a typical low-level vision problem, i.e., single image super-resolution. In
general, the two main challenges of existing deep CNN for supper-resolution lie
in the gradient exploding/vanishing problem and large numbers of parameters or
computational cost as CNN goes deeper. Correspondingly, the skip connections or
identity mapping shortcuts are utilized to avoid gradient exploding/vanishing
problem. In addition, the skip connections have naturally centered the
activation which led to better performance. To tackle with the second problem,
a lightweight CNN architecture which has carefully designed width, depth and
skip connections was proposed. In particular, a strategy of gradually varying
the shape of network has been proposed for residual network. Different residual
architectures for image super-resolution have also been compared. Experimental
results have demonstrated that the proposed CNN model can not only achieve
state-of-the-art PSNR and SSIM results for single image super-resolution but
also produce visually pleasant results. This paper has extended the mmm 2017
oral conference paper with a considerable new analyses and more experiments
especially from the perspective of centering activations and ensemble behaviors
of residual network.
",1,0,0,0,0,0
18083,Ricci flow and diffeomorphism groups of 3-manifolds,"  We complete the proof of the Generalized Smale Conjecture, apart from the
case of $RP^3$, and give a new proof of Gabai's theorem for hyperbolic
3-manifolds. We use an approach based on Ricci flow through singularities,
which applies uniformly to spherical space forms other than $S^3$ and $RP^3$
and hyperbolic manifolds, to prove that the moduli space of metrics of constant
sectional curvature is contractible. As a corollary, for such a 3-manifold $X$,
the inclusion $\text{Isom} (X,g)\to \text{Diff}(X)$ is a homotopy equivalence
for any Riemannian metric $g$ of constant sectional curvature.
",0,0,1,0,0,0
12630,Negative thermal expansion and metallophilicity in Cu$_3$[Co(CN)$_6$],"  We report the synthesis and structural characterisation of the molecular
framework copper(I) hexacyanocobaltate(III), Cu$_3$[Co(CN)$_6$], which we find
to be isostructural to H$_3$[Co(CN)$_6$] and the colossal negative thermal
expansion material Ag$_3$[Co(CN)$_6$]. Using synchrotron X-ray powder
diffraction measurements, we find strong positive and negative thermal
expansion behaviour respectively perpendicular and parallel to the trigonal
crystal axis: $\alpha_a$ = 25.4(5)\,MK$^{-1}$ and $\alpha_c$ =
$-$43.5(8)\,MK$^{-1}$. These opposing effects collectively result in a volume
expansivity $\alpha_V$ = 7.4(11)\,MK$^{-1}$ that is remarkably small for an
anisotropic molecular framework. This thermal response is discussed in the
context of the behaviour of the analogous H- and Ag-containing systems. We make
use of density-functional theory with many-body dispersion interactions
(DFT+MBD) to demonstrate that Cu$\ldots$Cu metallophilic (`cuprophilic')
interactions are significantly weaker in Cu$_3$[Co(CN)$_6$] than Ag$\ldots$Ag
interactions in Ag$_3$[Co(CN)$_6$], but that this lowering of energy scale
counterintuitively translates to a more moderate---rather than
enhanced---degree of structural flexibility. The same conclusion is drawn from
consideration of a simple lattice dynamical model, which we also present here.
Our results demonstrate that strong interactions can actually be exploited in
the design of ultra-responsive materials if those interactions are set up to
act in tension.
",0,1,0,0,0,0
17248,Effects of excess carriers on native defects in wide bandgap semiconductors: illumination as a method to enhance p-type doping,"  Undesired unintentional doping and doping limits in semiconductors are
typically caused by compensating defects with low formation energies. Since the
formation energy of a charged defect depends linearly on the Fermi level,
doping limits can be especially pronounced in wide bandgap semiconductors where
the Fermi level can vary substantially. Introduction of non-equilibrium carrier
concentrations during growth or processing alters the chemical potentials of
band carriers and thus provides the possibility of modifying populations of
charged defects in ways impossible at thermal equilibrium. Herein we
demonstrate that, for an ergodic system with excess carriers, the rates of
carrier capture and emission involving a defect charge transition level
rigorously determine the admixture of electron and hole quasi-Fermi levels
determining the formation energy of non-zero charge states of that defect type.
To catalog the range of possible responses to excess carriers, we investigate
the behavior of a single donor-like defect as functions of extrinsic doping and
energy of the charge transition level. The technologically most important
finding is that excess carriers will increase the formation energy of
compensating defects for most values of the charge transition level in the
bandgap. Thus, it may be possible to overcome limitations on doping imposed by
native defects. Cases also exist in wide bandgap semiconductors in which the
concentration of defects with the same charge polarity as the majority dopant
is either left unchanged or actually increases. The causes of these various
behaviors are rationalized in terms of the capture and emission rates and
guidelines for carrying out experimental tests of this model are given.
",0,1,0,0,0,0
12924,On the Dynamics of Deterministic Epidemic Propagation over Networks,"  In this work we review a class of deterministic nonlinear models for the
propagation of infectious diseases over contact networks with
strongly-connected topologies. We consider network models for
susceptible-infected (SI), susceptible-infected-susceptible (SIS), and
susceptible-infected-recovered (SIR) settings. In each setting, we provide a
comprehensive nonlinear analysis of equilibria, stability properties,
convergence, monotonicity, positivity, and threshold conditions. For the
network SI setting, specific contributions include establishing its equilibria,
stability, and positivity properties. For the network SIS setting, we review a
well-known deterministic model, provide novel results on the computation and
characterization of the endemic state (when the system is above the epidemic
threshold), and present alternative proofs for some of its properties. Finally,
for the network SIR setting, we propose novel results for transient behavior,
threshold conditions, stability properties, and asymptotic convergence. These
results are analogous to those well-known for the scalar case. In addition, we
provide a novel iterative algorithm to compute the asymptotic state of the
network SIR system.
",1,1,1,0,0,0
4444,Image synthesis with graph cuts: a fast model proposal mechanism in probabilistic inversion,"  Geophysical inversion should ideally produce geologically realistic
subsurface models that explain the available data. Multiple-point statistics is
a geostatistical approach to construct subsurface models that are consistent
with site-specific data, but also display the same type of patterns as those
found in a training image. The training image can be seen as a conceptual model
of the subsurface and is used as a non-parametric model of spatial variability.
Inversion based on multiple-point statistics is challenging due to high
nonlinearity and time-consuming geostatistical resimulation steps that are
needed to create new model proposals. We propose an entirely new model proposal
mechanism for geophysical inversion that is inspired by texture synthesis in
computer vision. Instead of resimulating pixels based on higher-order patterns
in the training image, we identify a suitable patch of the training image that
replace a corresponding patch in the current model without breaking the
patterns found in the training image, that is, remaining consistent with the
given prior. We consider three cross-hole ground-penetrating radar examples in
which the new model proposal mechanism is employed within an extended
Metropolis Markov chain Monte Carlo (MCMC) inversion. The model proposal step
is about 40 times faster than state-of-the-art multiple-point statistics
resimulation techniques, the number of necessary MCMC steps is lower and the
quality of the final model realizations is of similar quality. The model
proposal mechanism is presently limited to 2-D fields, but the method is
general and can be applied to a wide range of subsurface settings and
geophysical data types.
",0,1,0,0,0,0
4930,Hierarchical star formation across the grand design spiral NGC1566,"  We investigate how star formation is spatially organized in the grand-design
spiral NGC 1566 from deep HST photometry with the Legacy ExtraGalactic UV
Survey (LEGUS). Our contour-based clustering analysis reveals 890 distinct
stellar conglomerations at various levels of significance. These star-forming
complexes are organized in a hierarchical fashion with the larger congregations
consisting of smaller structures, which themselves fragment into even smaller
and more compact stellar groupings. Their size distribution, covering a wide
range in length-scales, shows a power-law as expected from scale-free
processes. We explain this shape with a simple ""fragmentation and enrichment""
model. The hierarchical morphology of the complexes is confirmed by their
mass--size relation which can be represented by a power-law with a fractional
exponent, analogous to that determined for fractal molecular clouds. The
surface stellar density distribution of the complexes shows a log-normal shape
similar to that for supersonic non-gravitating turbulent gas. Between 50 and 65
per cent of the recently-formed stars, as well as about 90 per cent of the
young star clusters, are found inside the stellar complexes, located along the
spiral arms. We find an age-difference between young stars inside the complexes
and those in their direct vicinity in the arms of at least 10 Myr. This
timescale may relate to the minimum time for stellar evaporation, although we
cannot exclude the in situ formation of stars. As expected, star formation
preferentially occurs in spiral arms. Our findings reveal turbulent-driven
hierarchical star formation along the arms of a grand-design galaxy.
",0,1,0,0,0,0
9984,A cost effective and reliable environment monitoring system for HPC applications,"  We present a slow control system to gather all relevant environment
information necessary to effectively and reliably run an HPC (High Performance
Computing) system at a high value over price ratio. The scalable and reliable
overall concept is presented as well as a newly developed hardware device for
sensor read out. This device incorporates a Raspberry Pi, an Arduino and PoE
(Power over Ethernet) functionality in a compact form factor. The system is in
use at the 2 PFLOPS cluster of the Johannes Gutenberg-University and
Helmholtz-Institute in Mainz.
",1,0,0,0,0,0
20898,A Distance Between Filtered Spaces Via Tripods,"  We present a simplified treatment of stability of filtrations on finite
spaces. Interestingly, we can lift the stability result for combinatorial
filtrations from [CSEM06] to the case when two filtrations live on different
spaces without directly invoking the concept of interleaving. We then prove
that this distance is intrinsic by constructing explicit geodesics between any
pair of filtered spaces. Finally we use this construction to obtain a
strengthening of the stability result.
",1,0,1,0,0,0
12823,Threat Modeling Data Analysis in Socio-technical Systems,"  Our decision-making processes are becoming more data driven, based on data
from multiple sources, of different types, processed by a variety of
technologies. As technology becomes more relevant for decision processes, the
more likely they are to be subjects of attacks aimed at disrupting their
execution or changing their outcome. With the increasing complexity and
dependencies on technical components, such attempts grow more sophisticated and
their impact will be more severe. This is especially important in scenarios
with shared goals, which had to be previously agreed to, or decisions with
broad social impact. We need to think about our decisions-making and underlying
data analysis processes in a systemic way to correctly evaluate benefits and
risks of specific solutions and to design them to be resistant to attacks. To
reach these goals, we can apply experiences from threat modeling analysis used
in software security. We will need to adapt these practices to new types of
threats, protecting different assets and operating in socio-technical systems.
With these changes, threat modeling can become a foundation for implementing
detailed technical, organizational or legal mitigations and making our
decisions more reliable and trustworthy.
",1,0,0,0,0,0
5592,Instability of pulses in gradient reaction-diffusion systems: A symplectic approach,"  In a scalar reaction-diffusion equation, it is known that the stability of a
steady state can be determined from the Maslov index, a topological invariant
that counts the state's critical points. In particular, this implies that pulse
solutions are unstable. We extend this picture to pulses in reaction-diffusion
systems with gradient nonlinearity. In particular, we associate a Maslov index
to any asymptotically constant state, generalizing existing definitions of the
Maslov index for homoclinic orbits. It is shown that this index equals the
number of unstable eigenvalues for the linearized evolution equation. Finally,
we use a symmetry argument to show that any pulse solution must have nonzero
Maslov index, and hence be unstable.
",0,0,1,0,0,0
18688,Robust Transceiver Design Based on Interference Alignment for Multi-User Multi-Cell MIMO Networks with Channel Uncertainty,"  In this paper, we firstly exploit the inter-user interference (IUI) and
inter-cell interference (ICI) as useful references to develop a robust
transceiver design based on interference alignment for a downlink multi-user
multi-cell multiple-input multiple-output (MIMO) interference network under
channel estimation error. At transmitters, we propose a two-tier transmit
beamforming strategy, we first achieve the inner beamforming direction and
allocated power by minimizing the interference leakage as well as maximizing
the system energy efficiency, respectively. Then, for the outer beamformer
design, we develop an efficient conjugate gradient Grassmann manifold subspace
tracking algorithm to minimize the distances between the subspace spanned by
interference and the interference subspace in the time varying channel. At
receivers, we propose a practical interference alignment based on fast and
robust fast data projection method (FDPM) subspace tracking algorithm, to
achieve the receive beamformer under channel uncertainty. Numerical results
show that our proposed robust transceiver design achieves better performance
compared with some existing methods in terms of the sum rate and the energy
efficiency.
",1,0,0,0,0,0
7611,Quantitative characterization of pore structure of several biochars with 3D imaging,"  Pore space characteristics of biochars may vary depending on the used raw
material and processing technology. Pore structure has significant effects on
the water retention properties of biochar amended soils. In this work, several
biochars were characterized with three-dimensional imaging and image analysis.
X-ray computed microtomography was used to image biochars at resolution of 1.14
$\mu$m and the obtained images were analysed for porosity, pore-size
distribution, specific surface area and structural anisotropy. In addition,
random walk simulations were used to relate structural anisotropy to diffusive
transport. Image analysis showed that considerable part of the biochar volume
consist of pores in size range relevant to hydrological processes and storage
of plant available water. Porosity and pore-size distribution were found to
depend on the biochar type and the structural anisotopy analysis showed that
used raw material considerably affects the pore characteristics at micrometre
scale. Therefore attention should be paid to raw material selection and quality
in applications requiring optimized pore structure.
",0,1,0,0,0,0
17442,What does the free energy principle tell us about the brain?,"  The free energy principle has been proposed as a unifying theory of brain
function. It is closely related, and in some cases subsumes, earlier unifying
ideas such as Bayesian inference, predictive coding, and active learning. This
article clarifies these connections, teasing apart distinctive and shared
predictions.
",0,0,0,0,1,0
365,On orbifold constructions associated with the Leech lattice vertex operator algebra,"  In this article, we study orbifold constructions associated with the Leech
lattice vertex operator algebra. As an application, we prove that the structure
of a strongly regular holomorphic vertex operator algebra of central charge
$24$ is uniquely determined by its weight one Lie algebra if the Lie algebra
has the type $A_{3,4}^3A_{1,2}$, $A_{4,5}^2$, $D_{4,12}A_{2,6}$, $A_{6,7}$,
$A_{7,4}A_{1,1}^3$, $D_{5,8}A_{1,2}$ or $D_{6,5}A_{1,1}^2$ by using the reverse
orbifold construction. Our result also provides alternative constructions of
these vertex operator algebras (except for the case $A_{6,7}$) from the Leech
lattice vertex operator algebra.
",0,0,1,0,0,0
3939,Computing metric hulls in graphs,"  We prove that, given a closure function the smallest preimage of a closed set
can be calculated in polynomial time in the number of closed sets. This
confirms a conjecture of Albenque and Knauer and implies that there is a
polynomial time algorithm to compute the convex hull-number of a graph, when
all its convex subgraphs are given as input. We then show that computing if the
smallest preimage of a closed set is logarithmic in the size of the ground set
is LOGSNP-complete if only the ground set is given. A special instance of this
problem is computing the dimension of a poset given its linear extension graph,
that was conjectured to be in P.
The intent to show that the latter problem is LOGSNP-complete leads to
several interesting questions and to the definition of the isometric hull,
i.e., a smallest isometric subgraph containing a given set of vertices $S$.
While for $|S|=2$ an isometric hull is just a shortest path, we show that
computing the isometric hull of a set of vertices is NP-complete even if
$|S|=3$. Finally, we consider the problem of computing the isometric
hull-number of a graph and show that computing it is $\Sigma^P_2$ complete.
",1,0,0,0,0,0
12869,Interaction-Based Distributed Learning in Cyber-Physical and Social Networks,"  In this paper we consider a network scenario in which agents can evaluate
each other according to a score graph that models some physical or social
interaction. The goal is to design a distributed protocol, run by the agents,
allowing them to learn their unknown state among a finite set of possible
values. We propose a Bayesian framework in which scores and states are
associated to probabilistic events with unknown parameters and hyperparameters
respectively. We prove that each agent can learn its state by means of a local
Bayesian classifier and a (centralized) Maximum-Likelihood (ML) estimator of
the parameter-hyperparameter that combines plain ML and Empirical Bayes
approaches. By using tools from graphical models, which allow us to gain
insight on conditional dependences of scores and states, we provide two relaxed
probabilistic models that ultimately lead to ML parameter-hyperparameter
estimators amenable to distributed computation. In order to highlight the
appropriateness of the proposed relaxations, we demonstrate the distributed
estimators on a machine-to-machine testing set-up for anomaly detection and on
a social interaction set-up for user profiling.
",1,0,1,1,0,0
3814,Fluid-Structure Interaction with the Entropic Lattice Boltzmann Method,"  We propose a novel fluid-structure interaction (FSI) scheme using the
entropic multi-relaxation time lattice Boltzmann (KBC) model for the fluid
domain in combination with a nonlinear finite element solver for the structural
part. We show validity of the proposed scheme for various challenging set-ups
by comparison to literature data. Beyond validation, we extend the KBC model to
multiphase flows and couple it with FEM solver. Robustness and viability of the
entropic multi-relaxation time model for complex FSI applications is shown by
simulations of droplet impact on elastic superhydrophobic surfaces.
",0,1,0,0,0,0
12087,Chiral magnetic effect of light,"  We study a photonic analog of the chiral magnetic (vortical) effect. We
discuss that the vector component of magnetoelectric tensors plays a role of
""vector potential,"" and its rotation is understood as ""magnetic field"" of a
light. Using the geometrical optics approximation, we show that ""magnetic
fields"" cause an anomalous shift of a wave packet of a light through an
interplay with the Berry curvature of photons. The mechanism is the same as
that of the chiral magnetic (vortical) effect of a chiral fermion, so that we
term the anomalous shift ""chiral magnetic effect of a light."" We further study
the chiral magnetic effect of a light beyond geometric optics by directly
solving the transmission problem of a wave packet at a surface of a
magnetoelectric material. We show that the experimental signal of the chiral
magnetic effect of a light is the nonvanishing of transverse displacements for
the beam normally incident to a magnetoelectric material.
",0,1,0,0,0,0
16256,Application of shifted-Laplace preconditioners for heterogenous Helmholtz equation- part 1: Data modelling,"  In several geophysical applications, such as full waveform inversion and data
modelling, we are facing the solution of inhomogeneous Helmholtz equation. The
difficulties of solving the Helmholtz equa- tion are two fold. Firstly, in the
case of large scale problems we cannot calculate the inverse of the Helmholtz
operator directly. Hence, iterative algorithms should be implemented. Secondly,
the Helmholtz operator is non-unitary and non-diagonalizable which in turn
deteriorates the performances of the iterative algorithms (especially for high
wavenumbers). To overcome this issue, we need to im- plement proper
preconditioners for a Krylov subspace method to solve the problem efficiently.
In this paper we incorporated shifted-Laplace operators to precondition the
system of equations and then generalized minimal residual (GMRES) method used
to solve the problem iteratively. The numerical results show the performance of
the preconditioning operator in improving the convergence rate of the GMRES
algorithm for data modelling case. In the companion paper we discussed the
application of preconditioned data modelling algorithm in the context of
frequency domain full waveform inversion. However, the analysis of the degree
of suitability of the preconditioners in the solution of Helmholtz equation is
an ongoing field of study.
",0,1,0,0,0,0
2813,Evidence of new twinning modes in magnesium questioning the shear paradigm,"  Twinning is an important deformation mode of hexagonal close-packed metals.
The crystallographic theory is based on the 150-years old concept of simple
shear. The habit plane of the twin is the shear plane, it is invariant. Here we
present Electron BackScatter Diffraction observations and crystallographic
analysis of a millimeter size twin in a magnesium single crystal whose straight
habit plane, unambiguously determined both the parent crystal and in its twin,
is not an invariant plane. This experimental evidence demonstrates that
macroscopic deformation twinning can be obtained by a mechanism that is not a
simple shear. Beside, this unconventional twin is often co-formed with a new
conventional twin that exhibits the lowest shear magnitude ever reported in
metals. The existence of unconventional twinning introduces a shift of paradigm
and calls for the development of a new theory for the displacive
transformations
",0,1,0,0,0,0
20593,Kernel Robust Bias-Aware Prediction under Covariate Shift,"  Under covariate shift, training (source) data and testing (target) data
differ in input space distribution, but share the same conditional label
distribution. This poses a challenging machine learning task. Robust Bias-Aware
(RBA) prediction provides the conditional label distribution that is robust to
the worstcase logarithmic loss for the target distribution while matching
feature expectation constraints from the source distribution. However,
employing RBA with insufficient feature constraints may result in high
certainty predictions for much of the source data, while leaving too much
uncertainty for target data predictions. To overcome this issue, we extend the
representer theorem to the RBA setting, enabling minimization of regularized
expected target risk by a reweighted kernel expectation under the source
distribution. By applying kernel methods, we establish consistency guarantees
and demonstrate better performance of the RBA classifier than competing methods
on synthetically biased UCI datasets as well as datasets that have natural
covariate shift.
",1,0,0,1,0,0
13811,"Normalizing the Taylor expansion of non-deterministic λ-terms, via parallel reduction of resource vectors","  It has been known since Ehrhard and Regnier's seminal work on the Taylor
expansion of {\lambda}-terms that this operation commutes with normalization:
the expansion of a {\lambda}-term is always normalizable and its normal form is
the expansion of the Böhm tree of the term. We generalize this result to the
non-uniform setting of the algebraic {\lambda}-calculus, i.e.
{\lambda}-calculus extended with linear combinations of terms. This requires us
to tackle two difficulties: foremost is the fact that Ehrhard and Regnier's
techniques rely heavily on the uniform, deterministic nature of the ordinary
{\lambda}-calculus, and thus cannot be adapted; second is the absence of any
satisfactory generic extension of the notion of Böhm tree in presence of
quantitative non-determinism, which is reflected by the fact that the Taylor
expansion of an algebraic {\lambda}-term is not always normalizable. Our
solution is to provide a fine grained study of the dynamics of
{\beta}-reduction under Taylor expansion, by introducing a notion of reduction
on resource vectors, i.e. infinite linear combinations of resource
{\lambda}-terms. The latter form the multilinear fragment of the differential
{\lambda}-calculus, and resource vectors are the target of the Taylor expansion
of {\lambda}-terms. We show the reduction of resource vectors contains the
image of any {\beta}-reduction step, from which we deduce that Taylor expansion
and normalization commute on the nose. We moreover identify a class of
algebraic {\lambda}-terms, encompassing both normalizable algebraic
{\lambda}-terms and arbitrary ordinary {\lambda}-terms: the expansion of these
is always normalizable, which guides the definition of a generalization of
Böhm trees to this setting.
",1,0,0,0,0,0
6070,Multi-parameter One-Sided Monitoring Test,"  Multi-parameter one-sided hypothesis test problems arise naturally in many
applications. We are particularly interested in effective tests for monitoring
multiple quality indices in forestry products. Our search reveals that there
are many effective statistical methods in the literature for normal data, and
that they can easily be adapted for non-normal data. We find that the beautiful
likelihood ratio test is unsatisfactory, because in order to control the size,
it must cope with the least favorable distributions at the cost of power. In
this paper, we find a novel way to slightly ease the size control, obtaining a
much more powerful test. Simulation confirms that the new test retains good
control of the type I error and is markedly more powerful than the likelihood
ratio test as well as many competitors based on normal data. The new method
performs well in the context of monitoring multiple quality indices.
",0,0,1,1,0,0
1783,Missing Data as Part of the Social Behavior in Real-World Financial Complex Systems,"  Many real-world networks are known to exhibit facts that counter our
knowledge prescribed by the theories on network creation and communication
patterns. A common prerequisite in network analysis is that information on
nodes and links will be complete because network topologies are extremely
sensitive to missing information of this kind. Therefore, many real-world
networks that fail to meet this criterion under random sampling may be
discarded.
In this paper we offer a framework for interpreting the missing observations
in network data under the hypothesis that these observations are not missing at
random. We demonstrate the methodology with a case study of a financial trade
network, where the awareness of agents to the data collection procedure by a
self-interested observer may result in strategic revealing or withholding of
information. The non-random missingness has been overlooked despite the
possibility of this being an important feature of the processes by which the
network is generated. The analysis demonstrates that strategic information
withholding may be a valid general phenomenon in complex systems. The evidence
is sufficient to support the existence of an influential observer and to offer
a compelling dynamic mechanism for the creation of the network.
",0,0,0,1,0,0
